,Restaurante,Valoracion,Nota,Delivery_fee,ETA,Tag,Precio,Direccion,Barrio,Lat,Lon
434,Papa John's,200,4.4,1.9,35–45,Pizza,€,"Calle Araucaria 19,   Madrid",Carabanchel,40.46046,-3.70001
435,Roost Chicken,123,4.6,2.9,40–50,Pollo,€,"Calle De Isaac Peral 4,  Madrid",Carabanchel,40.43515,-3.71802
436,McDonald's,200,4.4,2.9,30–40,Hamburguesas,€,"Calle De Isaac Peral 4,  Madrid",Carabanchel,40.43515,-3.71802
437,Taco Bell,200,4.1,2.4,35–45,Hamburguesas,€,"Hilarion Eslava 42,   Madrid",Carabanchel,40.43649,-3.71684
438,CONVEXO,69,4.6,2.9,35–45,Pollo,€€€,"Calle De Bravo Murillo 199,   Madrid",Carabanchel,40.45622,-3.70204
439,Pollos al Carbón,21,3.6,5.0,15–35,Pollo,€€,"Calle De Bravo Murillo, 113,  Madrid",Carabanchel,40.44805,-3.70399
440,Little Caesars Pizza,200,4.6,3.0,5–25 ,Pizza,€,"Calle De Francos Rodríguez, 42,  Madrid",Carabanchel,40.45565,-3.70461
453,McDonald's,200,4.3,1.9,15–25,Hamburguesas,€,"Paseo De Santa María De La Cabeza, 86,  Madrid",Carabanchel,40.39875,-3.70153
454,Beiben,14,4.2,2.4,30–40,Tapas,€,"Calle De Mira El Sol 23,  Madrid",Carabanchel,40.40727,-3.70623
455,La Cochinita Loca,19,4.3,2.4,45–55,Colombiana,€,"Calle De Guetaria 72,   Madrid",Carabanchel,40.36655,-3.71523
456,Pasta con todo 🍝,26,3.0,2.4,45–55,Italiana,€,"Calle Fragata, 11,   Madrid",Carabanchel,40.39365,-3.73426
457,Latin kebab,25,4.0,1.4,30–40,Kebab,€,"Calle Arechavaleta 6,   Madrid",Carabanchel,40.40605,-3.70752
458,Pura Italia,109,3.2,1.9,35–55,Italiana,€,"Calle De Antonio López 109,   Madrid",Carabanchel,40.38678,-3.69811
459,Pollo Criollo,26,3.0,2.4,50–60,Pollo,€,"Calle De Juan Pascual De Mena 7,  Madrid",Carabanchel,40.40765,-3.73979
460,Maha Kebab,11,4.3,2.4,20–30,Kebab,€,"Plaza De La Cebada, 10,  Madrid",Carabanchel,40.41156,-3.71008
461,Taberna La Buha,24,4.2,2.4,60–70,Tapas,€,"Calle Mirasierra, 37,  Madrid",Carabanchel,40.38842,-3.70369
462,Pizza Mirasierra,17,4.2,2.4,30–40,Pizza,€,"Calle De San Andrés, 31,  Madrid",Carabanchel,40.42842,-3.70346
463,Pic & Nic,200,4.4,3.9,60–70,Mediterránea,€,"Calle De Marcelo Usera 135,   Madrid",Carabanchel,40.38506,-3.71269
464,Pizz-a-porter,26,3.0,1.9,30–40,Pizza,€,"Calle De Don Pedro 11,  Madrid",Carabanchel,40.41164,-3.71275
465,Tabaxo - Don Pedro,26,3.0,2.4,50–60,Sándwich,€,"Paseo De Los Pontones, 24,  Madrid",Carabanchel,40.40543,-3.71415
466,Taberna Piedra Pinta,26,3.0,1.9,45–55,Halal,€,"Calle Vía Carpetana, 226,  Madrid",Carabanchel,40.39258,-3.74124
467,Dinos Bar Kebab,26,3.0,2.5,40–60,Kebab,€,"Av. Oporto, 89,  Madrid",Carabanchel,40.38804,-3.73205
468,Gran Oporto Kebab,29,3.7,1.4,25–35,Kebab,€,"Glorieta De Embajadores 4,  Madrid",Carabanchel,40.4045,-3.70245
469,GALAXY KEBAB,17,4.5,2.9,30–40,Kebab,€,"Calle Vía Carpetana 81,   Madrid",Carabanchel,40.39832,-3.73469
470,Bar y Kebab La Parada,23,3.0,1.4,15–25,Kebab,€,"Calle De Embajadores, 28,  Madrid",Carabanchel,40.40069,-3.69925
471,Éccolo,28,4.2,2.4,50–60,Tapas y raciones,€,"Calle De La Ruda, 5,  Madrid",Carabanchel,40.41032,-3.70764
472,Malacatin,19,4.9,1.9,45–55,Pizza,€,"Calle De Melilla, 47,  Madrid",Carabanchel,40.40113,-3.70969
473,Le Crust,25,4.4,2.5,40–60,Hamburguesas,€,"Paseo De Los Melancólicos 7,   Madrid",Carabanchel,40.40481,-3.72076
474,Toro Burger Lounge,27,4.1,1.4,25–35,Comida reconfortante,€,"Plaza De Cascorro, 16,   Madrid",Carabanchel,40.41025,-3.70746
475,Cor & Cor,11,4.3,2.9,30–40,Postres,€,"Calle Campo De La Paloma 32,   Madrid",Carabanchel,40.38336,-3.6475
476,Arepa Mix,38,3.9,1.4,15–25,Venezolana,€€,"Calle De Ferroviarios 98,   Madrid",Carabanchel,40.38196,-3.70452
477,Bocadillos Ole,23,3.0,2.4,60–70,Bocadillo,€,"Calle De Dolores Barranco, 88,  Madrid",Carabanchel,40.3833,-3.70616
478,IGo Pasta,89,4.5,2.4,30–40,Italiana,€,"Calle De Santa Isabel, 5,  Madrid",Carabanchel,40.41136,-3.6987
479,Yokaloka,23,3.6,3.9,60–70,Comfort Food,€,"Calle De Jaime Vera 12,   Madrid",Carabanchel,40.41214,-3.72872
480,Burger Las Vegas,23,3.6,1.9,30–40,Hamburguesas,€€,"Calle De Antonio López 109,   Madrid",Carabanchel,40.38678,-3.69811
481,Alice Pizza,23,3.6,2.4,50–60,Pizza,€,"Calle De Cáceres 5,  Madrid",Carabanchel,40.39854,-3.69618
482,Herbívoro,23,3.6,1.9,45–55,Parrilla,€,"Paseo De Los Melancolicos 7,   Madrid",Carabanchel,40.40481,-3.72076
483,La Manousheria,23,3.6,2.5,40–60,Postres,€,"Calle De Los Yébenes 150,   Madrid",Carabanchel,40.38979,-3.75197
484,Popizza,23,3.6,0.9,30–40,Pollo,€,"Calle De Marcelo Usera 12,   Madrid",Carabanchel,40.38728,-3.70066
486,Papa John's,200,4.3,0.9,30–40,Pizza,€,"Calle De Embajadores, 14 ,   Madrid",Usera,40.40069,-3.69925
487,TUTTO PASTA!,26,2.8,2.5,40–60,Comida rápida,€,"Calle De Matilde Hernández 90,  Madrid",Usera,40.3908,-3.73382
488,Restaurante Sabor K-Tracho,23,3.6,1.4,35–45,Alcohol,€,"Calle Del Gral. Ricardos, 92,   Madrid",Usera,40.39347,-3.72325
489,Autoservicio,77,4.8,0.9,15–25,Tienda,€,"Av. Del Manzanares, 210,  Madrid",Usera,40.39021,-3.70016
490,Little Caesars Pizza,200,4.6,1.4,40–50,Pizza,€,"Calle De Cáceres 1,   Madrid",Usera,40.39854,-3.69618
491,Comida china yonghe,50,4.3,2.4,40–50,China,€€€,"Calle De La Alianza 33,   Madrid",Usera,40.35775,-3.68689
492,Chinawokexpress,200,4.2,4.25,30–50,China,€,"Paseo Del Doctor Vallejo Nágera, 25,  Madrid",Usera,40.40163,-3.70811
493,Papa John's,200,4.3,2.4,30–40,Pizza,€,"Avenida De Oporto 14,  Madrid",Usera,40.38512,-3.72238
494,TROPICALISSIMA,84,4.4,1.4,30–40,Alcohol,€€€,"Calle Azabache, 6,  Madrid",Usera,40.39215,-3.72487
495,Super Dog,25,3.7,1.4,30–50,Hamburguesas,€,"Calle Del Gral. Ricardos, 92,   Madrid",Usera,40.39347,-3.72325
496,Autoservicio,77,4.8,2.4,30–40,Tienda,€,"Avenida De Orovilla 46,  Madrid",Usera,40.36029,-3.68992
498,Pollo Rico Al carbón,68,4.5,0.9,40–50,Pollo,€,"Calle Cáceres, 34,  Madrid",Usera,40.39879,-3.6959
499,Ristorante Pizzería Dante,61,4.1,2.4,45–55,Pizza,€,"Calle De Moncada 122,   Madrid",Usera,40.34096,-3.69201
500,Pollos a la brasa el Corral,31,4.6,3.0,30–50,Pollo,€,"Paseo De Santa María De La Cabeza, 86,  Madrid",Usera,40.39875,-3.70153
501,Beiben,14,4.2,1.9,30–40,Tapas,€,"Calle De Guetaria 72,   Madrid",Usera,40.36655,-3.71523
502,Pasta con todo 🍝,23,3.6,1.4,40–50,Italiana,€,"Calle De Antonio López 109,   Madrid",Usera,40.38678,-3.69811
503,Pollo Criollo,23,3.6,1.4,45–55,Pollo,€,"Av. De Andalucía, 19,  Madrid",Usera,40.36621,-3.69375
504,McDonald's,200,4.1,1.9,20–30,Hamburguesas,€,"Calle De La Antracita 12,   Madrid",Usera,40.39295,-3.68724
505,Empanadas Malvón,31,5.0,1.9,35–45,Empanada,€,"Calle Mirasierra, 37,  Madrid",Usera,40.38842,-3.70369
506,Pizza Mirasierra,17,4.2,1.4,20–30,Pizza,€,"Calle Arechavaleta 6,   Madrid",Usera,40.40605,-3.70752
507,Pura Italia,109,3.2,1.9,35–55,Italiana,€,"Travesía Arechavaleta 4,   Madrid",Usera,40.39818,-3.62207
508,"Aqua, Farina e Forno",17,2.9,1.9,10–30,Pasta,€,"Calle Ariel,15,   Madrid",Usera,40.41056,-3.71352
509,El Buen Gusto,17,4.5,2.4,50–60,Bar Food,€,"Calle De Marcelo Usera 135,   Madrid",Usera,40.38506,-3.71269
510,Pizz-a-porter,23,3.6,0.9,25–35,Pizza,€,"Calle De Palos De La Frontera 38,   Madrid",Usera,40.40302,-3.69613
511,La Pizza é Bella,12,4.5,2.9,40–50,Pizza,€,"Paseo Del Molino, 1,  Madrid",Usera,40.38987,-3.69263
512,Kebab Nemrut,81,4.3,1.9,25–35,Kebab,€,"Calle Vía Carpetana, 226,  Madrid",Usera,40.39258,-3.74124
513,Dinos Bar Kebab,23,3.6,2.5,40–60,Kebab,€,"Glorieta De Embajadores 4,  Madrid",Usera,40.4045,-3.70245
514,GALAXY KEBAB,17,4.5,2.9,30–40,Kebab,€,"Av. Oporto, 89,  Madrid",Usera,40.38804,-3.73205
515,Gran Oporto Kebab,29,3.7,2.9,35–45,Kebab,€€,"Calle De José Antonio De Armona 12,   Madrid",Usera,40.40524,-3.69753
516,Ramen Kagura,23,3.6,1.4,45–55,Comida reconfortante,€,"Calle De Tarragona 36,   Madrid",Usera,40.40159,-3.6962
517,RAVIOLUZIONE,40,4.2,1.9,20–30,Pizza,€,"Calle De Melilla, 47,  Madrid",Usera,40.40113,-3.70969
518,Le Crust,25,4.4,1.9,35–45,Hamburguesas,€,"Calle Campo De La Paloma 32,   Madrid",Usera,40.38336,-3.6475
519,Arepa Mix,38,3.9,1.4,20–30,Venezolana,€,"Centro Comercial Plaza Rio 2,  Madrid",Usera,40.39114,-3.70225
520,Llaollao,39,4.4,1.9,35–55,Gourmet,€€,"Calle De Ferroviarios 98,   Madrid",Usera,40.38196,-3.70452
521,Bocadillos Ole,23,3.6,1.9,10–30,Bocadillo,€,"Calle De Dolores Barranco, 88,  Madrid",Usera,40.3833,-3.70616
522,IGo Pasta,89,4.5,2.4,50–60,Italiana,€,"Calle De Santa Isabel, 5,  Madrid",Usera,40.41136,-3.6987
523,Yokaloka,23,3.6,0.9,25–35,Tapas y raciones,€,"Calle De La Antracita, 10,  Madrid",Usera,40.39007,-3.68986
524,Cantina Canalla,24,4.2,2.9,40–50,De Latinoamérica,€,"Paseo De Santa María De La Cabeza, 60,  Madrid",Usera,40.4024,-3.69775
525,Órale burrito,23,3.6,1.9,25–35,Burritos,€€,"Calle De Antonio López 109,   Madrid",Usera,40.38678,-3.69811
526,Alice Pizza,23,3.6,2.5,40–60,Pizza,€,"Calle De Méndez Álvaro 77,   Madrid",Usera,40.39602,-3.68112
527,Tasty Poke,178,4.6,2.9,30–40,Poke,€,"Calle De Cáceres 5,  Madrid",Usera,40.39854,-3.69618
528,Herbívoro,23,3.6,1.4,45–55,Parrilla,€,"Calle De Lillo 1,   Madrid",Usera,40.36299,-3.69517
529,Abaco Taberna,23,3.6,1.9,20–30,Con opciones veganas,€,"Calle Del Áncora 26,   Madrid",Usera,40.40308,-3.69166
530,Sésamo,23,3.6,1.9,35–45,Pollo,€,"Calle De Marcelo Usera 12,   Madrid",Usera,40.38728,-3.70066
531,"Asador de pollos ""LA WISLLA""",23,3.6,1.4,20–30,Carne,€,"Calle De Cardeñosa 42,  Madrid",Usera,40.38282,-3.67238
532,Mac2Pic2,23,3.6,1.9,35–55,Boliviana,€,"Marcelo Usera 12,  Madrid",Usera,40.38765,-3.70046
533,Asador de Pollos,23,3.6,1.9,10–30,Pollo,€,"Calle Alférez Juan Usera, 34,   Madrid",Usera,40.39572,-3.73066
534,Cheff oriental,23,3.6,2.4,50–60,Asiatica,€,"Paseo De Santa María De La Cabeza 32,   Madrid",Usera,40.4031,-3.69709
535,Kaleka Poke,23,3.6,0.9,25–35,Kebab,€,"Paseo Molino, 7,  Madrid",Usera,40.39012,-3.69287
536,Pizzeria Roberto,33,4.2,2.9,40–50,Pizza,€,"Calle De José Antonio De Armona 7,   Madrid",Usera,40.40455,-3.6965
537,Pui's Thai tapas,43,4.6,1.9,25–35,Comida rápida,€,"Calle Sallaberry, 101,  Madrid",Usera,40.39279,-3.72049
538,Comida China Feliz,200,4.4,2.5,40–60,China,€,"Avenida De Palomeras 150 ,  Madrid",Usera,40.38564,-3.64871
539,Merecumbe,100,4.3,2.9,30–40,Venezolana,€,"Calle De Embajadores, 12 ,   Madrid",Usera,40.40069,-3.69925
540,TUTTO PASTA!,26,2.8,2.9,35–45,Alcohol,€,"Avenida De Rafaela Ybarra 37,   Madrid",Puente de Vallecas,40.36433,-3.71421
541,Perla del Pacifico,66,4.1,0.9,30–40,Mediterránea,€,"Calle De Matilde Hernández 90,  Madrid",Puente de Vallecas,40.3908,-3.73382
542,Restaurante Sabor K-Tracho,23,3.6,2.4,40–50,Pollo,€,"Av. De La Albufera, 91,  Madrid",Puente de Vallecas,40.3944,-3.66152
543,Precio Calidad y sabor,17,4.4,2.0,40–60,Bar Food,€€€,"Calle De La Alianza 33,   Madrid",Puente de Vallecas,40.35775,-3.68689
544,Chinawokexpress,200,4.2,4.25,30–50,China,€,"Calle Felipe Fraile 5,   Madrid",Puente de Vallecas,40.3971,-3.66602
545,On Rush,14,4.8,1.4,40–50,Burritos,€€€,"Calle Azabache, 6,  Madrid",Puente de Vallecas,40.39215,-3.72487
546,Super Dog,25,3.7,2.49,30–50,Hamburguesas,€,"Calle Del Pico De La Maliciosa 6,   Madrid",Puente de Vallecas,40.45069,-3.67173
547,Bur Burger,50,4.4,2.49,50–70,Hamburguesas,€,"Avenida De La Albufera, 40,   Madrid",Puente de Vallecas,40.39682,-3.66662
548,El Sabroso Albufera,30,3.9,1.4,20–30,Comida rápida,€,"Calle Monederos 12,   Madrid",Puente de Vallecas,40.38776,-3.70159
549,Precio Calidad y sabor,17,4.4,2.0,40–60,Bar Food,€,"Avenida De La Albufera 119,   Madrid",Puente de Vallecas,40.39331,-3.65945
550,Kebab Rayo,117,3.8,0.9,25–35,Kebab,€,"Calle De Moncada 122,   Madrid",Puente de Vallecas,40.34096,-3.69201
551,Pollos a la brasa el Corral,31,4.6,3.0,30–50,Pollo,€,"Av. Pablo Neruda, 91,  Madrid",Puente de Vallecas,40.38117,-3.66242
552,McDonald's,200,4.1,0.9,15–25,Hamburguesas,€,"Av. De La Albufera, 20,  Madrid",Puente de Vallecas,40.39744,-3.6679
553,Popeyes,187,4.1,1.99,20–40,Pollo,€,"Calle De La Antracita 12,   Madrid",Puente de Vallecas,40.39295,-3.68724
554,Empanadas Malvón,31,5.0,2.4,40–50,Empanada,€€,"Calle Del Puerto De Balbarán 31,   Madrid",Puente de Vallecas,40.37649,-3.65629
555,Kebab Entrevias,43,4.5,1.4,25–35,Kebab,€,"Calle Arechavaleta 6,   Madrid",Puente de Vallecas,40.40605,-3.70752
556,Pura Italia,109,3.2,1.9,35–55,Italiana,€,"Calle Ariel,15,   Madrid",Puente de Vallecas,40.41056,-3.71352
557,El Buen Gusto,17,4.5,1.9,45–55,Bar Food,€,"Calle De Benjamín Palencia, 32,   Madrid",Puente de Vallecas,40.39471,-3.64814
558,Poke Ukelele,68,4.2,1.9,45–65,Poke,€,"Av. Del Mediterráneo, 30,  Madrid",Puente de Vallecas,40.40675,-3.67267
559,Mahalo Poke,23,3.6,2.5,30–50,Poke,€€,"Calle Del Camino De Los Vinateros, 22,  Madrid",Puente de Vallecas,40.41043,-3.65788
560,Ankara Doner Kebab,38,4.3,2.4,40–50,Kebab,€,"Av. De Entrevías, 58,  Madrid",Puente de Vallecas,40.37636,-3.66082
561,Shaurma House,26,4.3,1.9,20–30,Pollo,€,"Avenida Del Monte Igueldo 36,   Madrid",Puente de Vallecas,40.39586,-3.66853
562,Istanbul Kebab Madrid,23,3.6,1.4,30–40,Asiática,€,"Av Del Monte Igueldo, 36,  Madrid",Puente de Vallecas,40.39618,-3.66823
563,Kebab Vallecano,12,4.0,1.4,30–40,Kebab,€,"Calle De Benadalid 6,   Madrid",Puente de Vallecas,40.38604,-3.63886
564,Star Kebab Pollo Asado,14,4.1,2.4,35–45,Pollo,€€,"Calle De Peña De La Atalaya, 86,  Madrid",Puente de Vallecas,40.38579,-3.66726
566,Pizzamarket,30,4.8,1.9,20–30,Pizza,€€,"Av. Del Mediterráneo, 21,  Madrid",Puente de Vallecas,40.40675,-3.67267
567,Twin Pizza Mediterráneo,17,4.2,1.9,20–30,China,€,"Avenida Pablo Neruda 108,   Madrid",Puente de Vallecas,40.38315,-3.64917
568,Panda Sushi,133,4.4,1.9,20–30,Saludable,€€,"Calle De Arias Montano, 42,  Madrid",Puente de Vallecas,40.40985,-3.67173
569,Acqua in Bocca,36,4.3,1.9,20–30,Opciones para alergias,€,"Calle Campo De La Paloma 32,   Madrid",Puente de Vallecas,40.38336,-3.6475
570,Arepa Mix,38,3.9,1.9,20–30,Venezolana,€,"Calle Felipe Fraile 5,   Madrid",Puente de Vallecas,40.3971,-3.66602
571,THE SCHNITZEL BOSS,23,3.6,1.9,20–30,Sudamericana,€,"Calle Del Pico De La Maliciosa 6,   Madrid",Puente de Vallecas,40.45069,-3.67173
572,Frida Burritos,47,4.5,1.9,20–30,Burritos,€€,"Calle De Ferroviarios 98,   Madrid",Puente de Vallecas,40.38196,-3.70452
573,Bocadillos Ole,23,3.6,1.9,20–30,Bocadillo,€,"Calle Felipe Fraile 5,   Madrid",Puente de Vallecas,40.3971,-3.66602
574,Ceviches Marakaza,23,3.6,1.4,30–40,Peruana,€,"Avenida Pablo Neruda, 96 ,  Madrid",Puente de Vallecas,40.38315,-3.64917
575,Burger Town,23,3.6,1.4,30–40,Hamburguesas,€,"Calle Del Puerto Canfranc, 42,  Madrid",Puente de Vallecas,36.5939,-6.233
576,Comida Fusión,19,3.7,1.4,30–40,Fusión latina,€,"Avenida De Peña Prieta 22,   Madrid",Puente de Vallecas,40.40044,-3.66657
577,SUKAO FOOD FUSION,60,3.6,1.4,30–40,Japonesa,€,"Calle De Santa Isabel, 5,  Madrid",Puente de Vallecas,40.41136,-3.6987
578,Yokaloka,60,3.6,1.4,30–40,Tapas y raciones,€,"Calle De La Antracita, 10,  Madrid",Puente de Vallecas,40.38927,-3.7415
579,Cantina Canalla,24,4.2,1.4,30–40,De Latinoamérica,€,"Calle De La Cruz Del Sur 5,   Madrid",Puente de Vallecas,40.41625,-3.70064
580,BURRITOS & TACOS,86,3.5,1.4,25–35,Burritos,€,"Avenida Peña Prieta 50,   Madrid",Puente de Vallecas,40.40139,-3.6655
581,Asador Delicasa,14,4.0,1.4,25–35,Carne,€,"Calle De Gutenberg 3,  Madrid",Puente de Vallecas,40.40491,-3.68175
582,Waiwai Fusion Poke Atocha,32,4.7,1.4,25–35,Alcohol,€,"Calle De Méndez Álvaro 77,   Madrid",Puente de Vallecas,40.39602,-3.68112
583,Tasty Poke,178,4.6,1.4,25–35,Poke,€,"Av. Pablo Neruda, 91,  Madrid",Puente de Vallecas,40.38117,-3.66242
584,Don Tortilla,24,4.1,1.4,25–35,Saludable,€,"Calle De Cáceres 5,  Madrid",Puente de Vallecas,40.39854,-3.69618
585,Herbívoro,60,3.8,1.4,25–35,Parrilla,€,"Avenida De Buenos Aires 63,   Madrid",Puente de Vallecas,40.38641,-3.65337
586,Kebab Turca,60,3.8,1.4,25–35,Kebab,€,"Calle De Cardeñosa 42,  Madrid",Puente de Vallecas,40.38282,-3.67238
587,Mac2Pic2,60,3.8,1.4,25–35,Boliviana,€,"Av. De La Albufera, 226,  Madrid",Puente de Vallecas,40.39097,-3.64937
588,Ateshgah Albufera,60,3.8,1.4,25–35,Fritura,€,"Avenida Pablo Neruda, 96 ,  Madrid",Puente de Vallecas,40.38315,-3.64917
589,Superbestia,60,3.8,1.4,25–35,Pizza,€,"Paseo Molino, 7,  Madrid",Puente de Vallecas,40.39012,-3.69287
590,Pizzeria Roberto,33,4.2,1.4,25–35,Pizza,€,"Avenida De Palomeras 150 ,  Madrid",Puente de Vallecas,40.38564,-3.64871
591,Merecumbe,100,4.3,1.4,25–35,Venezolana,€€,"Calle De Ferroviarios 98,   Madrid",Puente de Vallecas,40.38196,-3.70452
592,Mr Patata,60,3.8,1.4,25–35,Pollo,€,"Calle De Lituania 6,   Madrid",Puente de Vallecas,40.40931,-3.66156
593,Dragón,60,3.8,1.4,25–35,Pizza,€,"Calle De Embajadores, 12 ,   Madrid",Puente de Vallecas,40.40069,-3.69925
594,TUTTO PASTA!,26,2.8,2.6,40–60,Comida rápida,€,"Av. De La Albufera, 226,  Madrid",Moratalaz,40.39097,-3.64937
595,Papa John's,200,4.4,1.4,25–35,Pizza,€,"Calle Del Pico De La Maliciosa 6,   Madrid",Moratalaz,40.45069,-3.67173
596,Streat Lab,50,4.6,2.49,50–70,Pollo,€,"Av. De La Albufera, 91,  Madrid",Moratalaz,40.3944,-3.66152
597,Pizz-a-porter,60,3.8,0.9,35–45,Pizza,€€€,"Calle De La Alianza 33,   Madrid",Moratalaz,40.35775,-3.68689
598,Chinawokexpress,200,4.2,4.25,30–50,China,€,"Calle Del Pico De La Maliciosa 6,   Madrid",Moratalaz,40.45069,-3.67173
599,Streat Lab,50,4.6,1.9,40–50,Pollo,€,"Calle Felipe Fraile 5,   Madrid",Moratalaz,40.3971,-3.66602
600,On Rush,14,4.8,2.4,45–55,Burritos,€,"Av. De La Albufera, 91,  Madrid",Moratalaz,40.3944,-3.66152
601,Pizz-a-porter,60,3.8,1.9,45–55,Pizza,€,"Calle De Berastegui 24,   Madrid",Moratalaz,40.43013,-3.64274
602,Perla del Pacifico,30,4.3,2.4,40–50,Mediterránea,€,"Avenida De La Albufera, 40,   Madrid",Moratalaz,40.39682,-3.66662
603,El Sabroso Albufera,30,3.9,2.4,25–35,Comida rápida,€,"Calle Manuel Machado, 6,  Madrid",Moratalaz,40.38916,-3.66819
604,McDonald's,200,4.2,1.9,30–40,Hamburguesas,€,"Calle Del Pico De La Maliciosa 6,   Madrid",Moratalaz,40.45069,-3.67173
605,Bur Burger,50,4.4,1.9,40–50,Hamburguesas,€€€,"Calle Azulejo 2,   Madrid",Moratalaz,40.33274,-3.71905
606,Empanadas BAIRES,60,3.8,2.9,45–55,Empanada,€,"Calle Esteban Collantes, 31,   Madrid",Moratalaz,40.43166,-3.64089
607,Croqueteria Focos,60,3.8,2.9,35–45,Croquetas,€,"Calle De Gonzalo De Berceo 63,   Madrid",Moratalaz,40.42865,-3.6399
608,Asador Perla del Pacifico Ascao,39,4.6,2.4,40–50,Carne,€,"Av. De La Albufera, 20,  Madrid",Moratalaz,40.39744,-3.6679
609,Popeyes,187,4.1,1.99,20–40,Pollo,€,"Avenida De La Albufera 119,   Madrid",Moratalaz,40.39331,-3.65945
610,Kebab Rayo,117,3.8,1.9,35–45,Kebab,€,"Paseo Del Marqués De Zafra 38,  Madrid",Moratalaz,40.42547,-3.66303
611,DIVE`S FOOD,60,3.8,2.4,45–55,Hamburguesas,€,"Calle De Julián Camarillo 47,   Madrid",Moratalaz,40.43898,-3.61628
612,Pic & Nic,200,4.5,3.4,30–40,Mediterránea,€,"Calle De Benjamín Palencia, 32,   Madrid",Moratalaz,40.39471,-3.64814
613,Poke Ukelele,68,4.2,3.4,45–65,Poke,€€€,"Av. De Moratalaz, 137,  Madrid",Moratalaz,40.40666,-3.64674
614,Kebab moratalaz,60,3.8,1.4,30–40,Kebab,€,"Av. Del Mediterráneo, 30,  Madrid",Moratalaz,40.40675,-3.67267
615,Mahalo Poke,60,3.8,2.5,30–50,Poke,€,"Av. Del Marqués De Corbera, 40,  Madrid",Moratalaz,40.42727,-3.65018
616,Bar el castaño,60,3.8,2.4,35–45,Mediterranea,€€,"Calle Del Camino De Los Vinateros, 22,  Madrid",Moratalaz,40.41043,-3.65788
617,Ankara Doner Kebab,38,4.3,1.9,30–40,Kebab,€,"Avenida Del Monte Igueldo 36,   Madrid",Moratalaz,40.39586,-3.66853
618,Istanbul Kebab Madrid,60,3.8,2.4,40–50,Kebab,€,"Calle De Benadalid 6,   Madrid",Moratalaz,40.38604,-3.63886
619,Star Kebab Pollo Asado,14,4.1,2.4,35–45,Pollo,€,"Av Del Monte Igueldo, 36,  Madrid",Moratalaz,40.39618,-3.66823
620,Kebab Vallecano,12,4.0,2.4,40–50,Kebab,€,"Calle De Ezequiel Solana, 52,  Madrid",Moratalaz,40.43037,-3.64518
622,Pizzamarket,30,4.8,2.4,40–50,Pizza,€,"Calle De Ricardo Ortiz, 20,  Madrid",Moratalaz,40.42857,-3.65826
623,Tennessee BBQ,77,4.8,2.4,40–50,Pizza,€,"Calle De Zabaleta 1,  Madrid",Moratalaz,40.44221,-3.67369
624,Napoli Gang by Bel Mondo,200,4.6,2.4,40–50,Pizza,€€,"Av. Del Mediterráneo, 21,  Madrid",Moratalaz,40.40675,-3.67267
625,Twin Pizza Mediterráneo,17,4.2,2.4,40–50,India,€€,"Calle Francisco Villaespesa, 6,  Madrid",Moratalaz,40.42906,-3.6488
626,Mother india,37,4.3,2.4,40–50,China,€,"Avenida Pablo Neruda 108,   Madrid",Moratalaz,40.38315,-3.64917
627,Panda Sushi,133,4.4,2.4,40–50,Saludable,€,"Calle Del Vizconde De Matamala 5,   Madrid",Moratalaz,40.42639,-3.66425
628,Clásico Argentino 🇦🇷 ,41,4.5,2.4,40–50,Empanada,€€,"Calle De Arias Montano, 42,  Madrid",Moratalaz,40.40985,-3.67173
629,Acqua in Bocca,36,4.3,2.4,40–50,Comida rápida,€,"Calle Buen Gobernador, 6,   Madrid",Moratalaz,40.43299,-3.65425
630,Happy Burger,90,4.3,2.4,40–50,Hamburguesas,€,"Calle Campo De La Paloma 32,   Madrid",Moratalaz,40.38336,-3.6475
631,Arepa Mix,38,3.9,2.4,40–50,Venezolana,€,"Calle Felipe Fraile 5,   Madrid",Moratalaz,40.3971,-3.66602
632,THE SCHNITZEL BOSS,60,3.8,2.4,40–50,Sudamericana,€,"Calle Del Pico De La Maliciosa 6,   Madrid",Moratalaz,40.45069,-3.67173
633,Frida Burritos,47,4.5,2.4,40–50,Burritos,€,"Calle De Gandhi 71,  Madrid",Moratalaz,40.4958,-3.6177
634,Veg&Bite,12,4.9,2.4,40–50,Postres,€,"Calle Felipe Fraile 5,   Madrid",Moratalaz,40.3971,-3.66602
635,Ceviches Marakaza,60,3.8,2.4,40–50,Peruana,€,"Calle Del Vizconde De Matamala 5,   Madrid",Moratalaz,40.42639,-3.66425
636,Sushi Not Sorry,60,3.8,2.4,40–50,Fusión asiática,€,"Calle De Maiquez 50,   Madrid",Moratalaz,40.42273,-3.67283
637,Nagasaki Sushi Retiro,60,3.8,2.4,40–50,China,€,"Calle Del Puerto Canfranc, 42,  Madrid",Moratalaz,36.5939,-6.233
638,Comida Fusión,19,3.7,2.4,40–50,Fusión latina,€,"Avenida De Peña Prieta 22,   Madrid",Moratalaz,40.40044,-3.66657
639,SUKAO FOOD FUSION,60,3.8,2.5,40–60,Japonesa,€,"Zabaleta 1,   Madrid",Moratalaz,40.44065,-3.67537
640,Nola Smoke,199,4.2,2.5,40–60,Comida rápida,€,"Calle De La Cruz Del Sur 5,   Madrid",Moratalaz,40.41625,-3.70064
