,Restaurante,Valoracion,Nota,Delivery_fee,ETA,Tag,Precio,Direccion,Barrio,Lat,Lon
108,TUTTO PASTA!,26,2.8,2.5,40–60,Platos a base de harina,€,"Plaza Del Emperador Carlos V, 10,  Madrid",Retiro,40.40861,-3.69288
109,Scarlett Real Food,30,3.1,1.4,35–45,Postres,€,"Calle De Cáceres 1,   Madrid",Retiro,40.39854,-3.69618
110,Comida china yonghe,50,4.3,0.9,25–35,China,€,"Calle Cáceres, 34,  Madrid",Retiro,40.39879,-3.6959
111,Ristorante Pizzería Dante,61,4.1,2.4,40–60,Pizza,€,"Paseo Del Doctor Vallejo Nágera, 25 ,   Madrid",Retiro,40.40163,-3.70811
112,Papa John's,200,4.3,0.9,20–30,Pizza,€,"Paseo Delicias, 65,   Madrid",Retiro,40.39908,-3.69435
113,Domino's,33,4.3,1.0,15–35,Pizza,€,"Calle Azulejo 2,   Madrid",Retiro,40.33274,-3.71905
114,Pizzería Argentina El Trébol,30,3.1,1.9,40–50,Pizza,€,"Calle De Cáceres 1,   Madrid",Retiro,40.39854,-3.69618
115,Comida china yonghe,50,4.3,1.9,40–50,China,€€€,"Calle De La Alianza 33,   Madrid",Retiro,40.35775,-3.68689
116,Chinawokexpress,200,4.2,4.25,30–50,China,€,"Calle Del Pico De La Maliciosa 6,   Madrid",Retiro,40.45069,-3.67173
117,Streat Lab,50,4.6,1.9,40–50,Pollo,€€€,"Calle Azabache, 6,   Madrid",Retiro,40.39215,-3.72487
118,Super Dog,25,3.7,4.25,30–50,Hamburguesas,€,"Calle Felipe Fraile 5,   Madrid",Retiro,40.3971,-3.66602
119,On Rush,14,4.8,1.4,40–50,Burritos,€,"Avenida De La Albufera, 40,  Madrid",Retiro,40.39682,-3.66662
120,El Sabroso Albufera,30,3.9,1.9,20–30,Comida rápida,€,"Paseo De Santa María De La Cabeza 14,  Madrid",Retiro,40.40615,-3.69478
121,Arepish,186,4.4,1.9,35–45,Venezolana,€,"Av. De La Albufera, 91,   Madrid",Retiro,40.3944,-3.66152
122,Pizz-a-porter,30,3.1,1.9,40–50,Pizza,€€,"Calle De Mira El Sol, 1,   Madrid",Retiro,40.40781,-3.70452
123,TAMCOC,30,3.1,2.4,55–65,Italiana,€,"Calle Alcala 191,  Madrid",Retiro,40.42654,-3.67232
124,Pastamore,98,4.6,1.9,30–40,Italiana,€,"Calle Cáceres, 34,  Madrid",Retiro,40.39879,-3.6959
125,Ristorante Pizzería Dante,61,4.1,2.4,45–55,Pizza,€,"Calle Azulejo 2,   Madrid",Retiro,40.33274,-3.71905
126,Empanadas BAIRES,30,3.1,1.9,45–55,Empanada,€,"Calle De Ayala 28,   Madrid",Retiro,40.42774,-3.68571
127,SANABRIA,30,3.1,2.4,50–60,Tapas y raciones,€,"Calle Dos Hermanas, 22, 28012 , España,    Madrid",Retiro,40.41041,-3.70607
128,La Alegría de la Huerta,30,3.1,2.9,40–50,Vegetariano,€,"Calle De Moncada 122,   Madrid",Retiro,40.34096,-3.69201
129,Pollos a la brasa el Corral,31,4.6,3.0,30–50,Pollo,€,"Calle De Narváez, 60,  Madrid",Retiro,40.41965,-3.67588
130,Empanadas Malvón,35,4.8,1.4,25–35,Empanada,€,"Calle Gran Vía, 16,  Madrid",Retiro,40.41966,-3.69894
131,Steak Burger,168,4.2,2.4,55–65,Americana,€,"Calle Del Pico De La Maliciosa 6,   Madrid",Retiro,40.45069,-3.67173
132,Bur Burger,50,4.4,2.4,40–50,Hamburguesas,€,"Calle De Núñez De Arce 11,   Madrid",Retiro,40.41538,-3.70124
133,Empanadas BAIRES,30,3.1,2.99,35–55,Empanada,€,"Calle De La Cruz, 20,   Madrid",Retiro,40.41553,-3.70175
134,Galipan,23,4.2,2.4,60–70,Halal,€,"Calle Del Dr Cortezo, 7,   Madrid",Retiro,40.41347,-3.70389
135,El Turkito,200,4.1,2.4,50–60,Asiatica,€,"Paseo De Santa María De La Cabeza, 86,  Madrid",Retiro,40.39875,-3.70153
136,Beiben,14,4.2,2.4,35–45,Tapas,€,"Calle Del Mesón De Paredes 52,   Madrid",Retiro,40.40597,-3.70127
137,Mandela 100,30,3.1,2.4,50–60,India,€,"Calle De Lavapiés 34,  Madrid",Retiro,40.41107,-3.70275
138,Sonali Indian Restaurante,58,4.1,2.4,40–50,India,€,"Av. De La Albufera, 20,   Madrid",Retiro,40.39744,-3.6679
139,Popeyes,187,4.1,1.99,20–40,Pollo,€,"Calle De Mira El Sol 23b,  Madrid",Retiro,40.40763,-3.70495
140,La Cochinita Loca,19,4.3,2.4,45–55,Colombiana,€,"Calle De Las Naciones 5,   Madrid",Retiro,40.42685,-3.6736
141,PaellaGood,30,3.1,1.9,45–55,Mediterránea,€,"Paseo Del Marqués De Zafra 38,  Madrid",Retiro,40.42547,-3.66303
142,DIVE`S FOOD,30,3.1,1.9,40–50,Hamburguesas,€€,"Calle Lopez de Hoyos 15,  Madrid",Retiro,40.44861,-3.66712
