,Restaurante,Valoración,Nota,Delivery_Fee,ETA,Tag,Precio,Dirección,Barrio,Tag_
31,Mandela 100,28,3.1,0.9,40–50,India,€,"Calle Del Espíritu Santo 16,  28004",Centro,India
32,MY Pasta Room,59,4.6,1.4,40–50,Pizza,€,"Calle Cáceres, 34, 28045",Centro,Pizza
33,Ristorante Pizzería Dante,61,4.1,2.4,45–55,Pizza,€,"Calle Gran Vía 74,  28015",Centro,Pizza
34,Trek Taco,28,3.1,0.9,40–50,SouthAmerica,€,"Calle De San Bernardino, 20,  28015",Centro,SouthAmerica
35,MILA TOWN,28,3.1,1.4,35–45,Hamburguesa,€,"Plaza Del Comandante Las Morenas 3,  28013",Centro,Hamburguesa
36,Pollo Criollo,28,3.1,0.4,45–55,Pollo,€,"Paseo De Los Jesuitas 18,  28011",Centro,Pollo
37,Gourmet Madrid,24,3.3,2.4,60–70,Pizza,€,"Calle De Luchana 13, 28010",Centro,Pizza
38,Freedom Pizza,53,4.5,1.9,45–55,Pizza,€,"Calle De Mira El Sol 23b,  28005",Centro,Pizza
39,La Cochinita Loca,19,4.3,1.4,40–50,SouthAmerica,€,"Calle De Lavapiés 34, 28012",Centro,SouthAmerica
40,Sonali Indian Restaurante,58,4.1,1.4,25–35,India,€€,"Calle De Ayala 28,  28001",Centro,India
41,SANABRIA,28,3.1,2.4,55–65,Mediterránea,€€€,"Plaza De La Cebada, 10,  28005",Centro,Mediterránea
42,Taberna La Buha,24,4.2,0.9,45–55,Mediterránea,€,"Calle De Galería De Vallehermoso 4, 28003",Centro,Mediterránea
43,Real Fried Chicken,15,4.3,2.4,50–60,Pollo,€,"Calle De Moncada 122, 28021",Centro,Pollo
44,Pollos a la brasa el Corral,31,4.6,3.0,30–50,Pollo,€,"Calle Mayor, 42,  28013",Centro,Pollo
45,Las Muns,28,3.1,0.4,35–45,Carne,€,"Calle Mayor, 31,  28012",Centro,Carne
46,Chocolateria Tacita de Plata,13,4.1,0.4,35–45,Dulce,€,"Calle Gran Vía, 22,  28004",Centro,Dulce
47,TGB,89,3.9,1.4,50–60,Hamburguesa,€,"Calle Vergara 3,  28013",Centro,Hamburguesa
48,Mr. Pizza Madrid,28,3.1,0.9,35–45,Pizza,€,"Calle De Toledo, 63,  28005",Centro,Pizza
49,McDonald's,200,4.3,0.9,25–35,Hamburguesa,€,"Calle Libertad, 9, 28004",Centro,Hamburguesa
50,Puccias Chueca,28,3.1,1.4,30–40,Hamburguesa,€,"Paseo De Santa María De La Cabeza, 86,  28045",Centro,Hamburguesa
51,Beiben,14,4.2,1.9,30–40,Mediterránea,€,"Calle Andrés Mellado 43, 28015",Centro,Mediterránea
52,La Bruja del Vesuvio,28,3.1,1.9,40–50,Comida rápida,€,"Calle De Cea Bermúdez 49,  28015",Centro,Comida rápida
53,Cerveceria Riaño,28,3.1,2.9,45–55,Tienda,€,"Calle De José Calvo 6,  28039",Centro,Tienda
54,Badsha India Restaurant,200,4.4,1.0,15–35,India,€,"Calle De Embajadores,  28012",Arganzuela,India
55,TUTTO PASTA!,26,2.8,2.5,40–60,Pizza,€,"Calle De Cáceres 1,  28045",Arganzuela,Pizza
56,Pizza Central,31,3.8,2.99,35–55,Pizza,€,"Calle Cáceres, 34, 28045",Arganzuela,Pizza
57,Ristorante Pizzería Dante,61,4.1,2.4,40–60,Pizza,€,"Paseo Del Doctor Vallejo Nágera, 25 , 28005",Arganzuela,Pizza
58,Papa John's,200,4.3,0.9,20–30,Pizza,€,"Paseo Delicias, 65,  28045",Arganzuela,Pizza
59,Domino's,33,4.3,1.0,15–35,Pizza,€,"Calle De Toledo 27,  28012",Arganzuela,Pizza
60,Fritz Foods,41,4.5,1.9,45–55,Pizza,€,"Paseo De La Virgen Del Puerto, 45, 28005",Arganzuela,Pizza
61,Kahuna,25,4.6,2.4,50–60,Burritos,€,"Plaza Emperador Carlos V 11 ,  28012",Arganzuela,Burritos
62,Taco Bell,200,4.2,1.4,20–30,Hamburguesa,€,"Av. Del Manzanares, 210, 28026",Arganzuela,Hamburguesa
63,Hamburguesa Nostra,139,4.3,0.9,35–45,Dulce,€,"C/ Preciados 36,  28013",Arganzuela,Dulce
64,La Tagliatella,15,3.9,2.4,25–35,Pizza,€€,"Paseo De Santa María De La Cabeza 14,  28012",Arganzuela,Pizza
65,Arepish,186,4.4,1.4,25–35,SouthAmerica,€,"Paseo De Las Acacias, 22, 28005",Arganzuela,SouthAmerica
66,McDonald's,200,4.4,1.4,15–25,Hamburguesa,€,"Calle Monederos 12,  28026",Arganzuela,Hamburguesa
67,Precio Calidad y sabor,17,4.4,2.0,40–60,Mediterránea,€,"Calle De Mira El Sol, 1, 28005 ",Arganzuela,Mediterránea
68,TAMCOC,28,3.1,1.4,45–55,Pizza,€,"Calle De La Alianza 33,  28041",Arganzuela,Pizza
69,Chinawokexpress,200,4.2,4.25,30–50,China,€,"Calle Azabache, 6,  28019",Arganzuela,China
70,Super Dog,25,3.7,1.4,30–50,Hamburguesa,€,"Calle Del Gral. Ricardos, 92,  28019",Arganzuela,Hamburguesa
71,Autoservicio,77,4.8,2.4,30–40,Tienda,€,"Avenida De Rafaela Ybarra 37,  28026",Arganzuela,Tienda
72,Perla del Pacifico,66,4.1,2.4,40–50,SouthAmerica,€€€,"Avenida De Oporto 14,  28019",Arganzuela,SouthAmerica
73,TROPICALISSIMA,84,4.4,2.4,35–45,Hamburguesa,€,"Paseo De Santa María De La Cabeza, 86,  28045",Arganzuela,Hamburguesa
74,Beiben,14,4.2,0.4,25–35,Mediterránea,€,"Calle Del Pico De La Maliciosa 6,  28038",Arganzuela,Mediterránea
75,Streat Lab,50,4.6,2.9,50–60,Pollo,€,"Calle Mayor, 38, 28013",Arganzuela,Pollo
76,Popeyes,200,4.3,2.4,55–65,Pollo,€,"Calle Felipe Fraile 5,  28038",Arganzuela,Pollo
77,On Rush,14,4.8,2.4,50–60,Burritos,€,"Avenida De La Albufera, 40,  28038",Arganzuela,Burritos
78,El Sabroso Albufera,30,3.9,2.9,30–40,Comida rápida,€,"Calle Núñez De Arce, 11, 28012 ",Arganzuela,Comida rápida
79,Pizzería Argentina El Trébol,24,4.3,2.99,35–55,Pizza,€,"Calle Dos Hermanas, 22, 28012 ",Arganzuela,Pizza
80,La Alegría de la Huerta,28,3.1,1.9,30–40,Ensaladas,€,"Travesía De La Parada 6,  28015",Arganzuela,Ensaladas
81,EL LATÓN GRIS,66,3.7,2.4,70–80,Pollo,€,"Calle Del Mesón De Paredes 52, 28012",Arganzuela,Pollo
82,Mandela 100,28,3.1,1.4,40–50,India,€,"Calle De Mira El Sol 23b,  28005",Arganzuela,India
83,La Cochinita Loca,19,4.3,1.4,40–50,SouthAmerica,€,"C/ Ejos 15, 28026",Arganzuela,SouthAmerica
84,Pollo Rico Al carbón,68,4.5,1.9,40–50,Pollo,€,"Calle De Moncada 122,  28021",Arganzuela,Pollo
85,Pollos a la brasa el Corral,31,4.6,3.0,30–50,Pollo,€,"Calle De La Antracita 12,  28045",Arganzuela,Pollo
86,Empanadas Malvón,31,5.0,1.4,25–35,Empanada,€,"Calle Del Dr Cortezo, 7,  28012",Arganzuela,Empanada
87,El Turkito,200,4.1,1.9,40–50,Asiática,€,"Calle De La Cruz, 20,  28012",Arganzuela,Asiática
88,Galipan,23,4.2,1.9,55–65,India,€,"Calle Gran Vía, 16,  28004",Arganzuela,India
89,Steak Burger,168,4.2,2.4,55–65,Hamburguesa,€,"Calle De Antonio López 109,  28026",Arganzuela,Hamburguesa
90,Pollo Criollo,28,3.1,1.4,45–55,Pollo,€,"Calle De Núñez De Arce 11,  28012",Arganzuela,Pollo
91,Empanadas BAIRES,28,3.1,2.99,35–55,Empanada,€,"Calle De Tudescos, 4,  28004",Arganzuela,Empanada
92,Super naan,30,3.1,2.4,65–75,India,€,"Calle De Lavapiés 34,  28012",Arganzuela,India
93,Sonali Indian Restaurante,58,4.1,1.4,30–40,India,€€,"Calle De Los Donados 2,  28013",Arganzuela,India
94,Cor & Cor,30,3.1,2.4,55–65,Dulce,€,"Calle Libertad, 9, 28004",Arganzuela,Dulce
95,Puccias Chueca,30,3.1,2.4,40–50,Hamburguesa,€,"Ronda De Valencia, 14,  28012",Arganzuela,Hamburguesa
96,Aloha Poke,200,4.5,1.4,20–30,Poke,€,"Calle De Atocha 98,  28014",Arganzuela,Poke
97,Capasso Pizza,30,3.1,1.4,35–45,Pizza,€,"Calle De Lavapiés, 34,  28012",Arganzuela,Pizza
98,Shapla Indian,31,4.3,1.4,35–45,Pizza,€,"Calle Arechavaleta 6,  28041",Arganzuela,Pizza
99,Pura Italia,109,3.2,1.9,35–55,Pizza,€,"Plaza Del Comandante Las Morenas 3,  28013",Arganzuela,Pizza
100,Pollo Criollo,30,3.1,1.9,60–70,Pollo,€,"Plaza De La Cebada, 10,  28005",Arganzuela,Pollo
101,Taberna La Buha,24,4.2,1.9,55–65,Mediterránea,€,"Calle Ariel,15,  28045",Arganzuela,Mediterránea
102,El Buen Gusto,17,4.5,1.9,45–55,Mediterránea,€,"Calle De Palos De La Frontera 38, 28045",Arganzuela,Mediterránea
103,La Pizza é Bella,12,4.5,1.4,25–35,Pizza,€,"Calle Mayor, 42,  28013",Arganzuela,Pizza
104,Las Muns,30,3.1,2.4,50–60,Carne,€,"Calle De Atocha, 117,  28012",Arganzuela,Carne
105,Halal Steak House Grill,30,3.1,1.4,30–40,Carne,€,"Calle De Silva, 25,  28004",Arganzuela,Carne
106,Home Burger Bar,200,4.3,2.4,60–70,Hamburguesa,€,"Plaza De Puerta Cerrada 6,  28005",Arganzuela,Hamburguesa
107,LaRegustosa,26,4.2,1.9,60–70,Empanada,€,"Calle De Embajadores, 12, 28012",Arganzuela,Empanada
108,TUTTO PASTA!,26,2.8,2.5,40–60,Pizza,€,"Plaza Del Emperador Carlos V, 10, 28012",Retiro,Pizza
109,Scarlett Real Food,30,3.1,1.4,35–45,Dulce,€,"Calle De Cáceres 1,  28045",Retiro,Dulce
110,Comida china yonghe,50,4.3,0.9,25–35,China,€,"Calle Cáceres, 34, 28045",Retiro,China
111,Ristorante Pizzería Dante,61,4.1,2.4,40–60,Pizza,€,"Paseo Del Doctor Vallejo Nágera, 25 ,  28005",Retiro,Pizza
112,Papa John's,200,4.3,0.9,20–30,Pizza,€,"Paseo Delicias, 65,  28045",Retiro,Pizza
113,Domino's,33,4.3,1.0,15–35,Pizza,€,"Calle Azulejo 2,  28028",Retiro,Pizza
114,Pizzería Argentina El Trébol,30,3.1,1.9,40–50,Pizza,€,"Calle De Cáceres 1,  28045",Retiro,Pizza
115,Comida china yonghe,50,4.3,1.9,40–50,China,€€€,"Calle De La Alianza 33,  28041",Retiro,China
116,Chinawokexpress,200,4.2,4.25,30–50,China,€,"Calle Del Pico De La Maliciosa 6,  28038",Retiro,China
117,Streat Lab,50,4.6,1.9,40–50,Pollo,€,"Calle Azabache, 6,  28019",Retiro,Pollo
118,Super Dog,25,3.7,4.25,30–50,Hamburguesa,€,"Calle Felipe Fraile 5,  28038",Retiro,Hamburguesa
119,On Rush,14,4.8,1.4,40–50,Burritos,€,"Avenida De La Albufera, 40, 28038",Retiro,Burritos
120,El Sabroso Albufera,30,3.9,1.9,20–30,Comida rápida,€,"Paseo De Santa María De La Cabeza 14, 28012",Retiro,Comida rápida
121,Arepish,186,4.4,1.9,35–45,SouthAmerica,€,"Av. De La Albufera, 91,  28053",Retiro,SouthAmerica
122,Pizz-a-porter,30,3.1,1.9,40–50,Pizza,€,"Calle De Mira El Sol, 1, 28005 ",Retiro,Pizza
123,TAMCOC,30,3.1,2.4,55–65,Pizza,€,"Calle Alcala 191, 28006",Retiro,Pizza
124,Pastamore,98,4.6,1.9,30–40,Pizza,€,"Calle Cáceres, 34, 28045",Retiro,Pizza
125,Ristorante Pizzería Dante,61,4.1,2.4,45–55,Pizza,€,"Calle Azulejo 2,  28028",Retiro,Pizza
126,Empanadas BAIRES,30,3.1,1.9,45–55,Empanada,€,"Calle De Ayala 28,  28001",Retiro,Empanada
127,SANABRIA,30,3.1,2.4,50–60,Mediterránea,€€€,"Calle Dos Hermanas, 22, 28012 , España,   28012",Retiro,Mediterránea
128,La Alegría de la Huerta,30,3.1,2.9,40–50,Ensaladas,€,"Calle De Moncada 122,  28021",Retiro,Ensaladas
129,Pollos a la brasa el Corral,31,4.6,3.0,30–50,Pollo,€,"Calle De Narváez, 60, 28009",Retiro,Pollo
130,Empanadas Malvón,35,4.8,1.4,25–35,Empanada,€,"Calle Gran Vía, 16, 28004",Retiro,Empanada
131,Steak Burger,168,4.2,2.4,55–65,Hamburguesa,€,"Calle Del Pico De La Maliciosa 6,  28038",Retiro,Hamburguesa
132,Bur Burger,50,4.4,2.4,40–50,Hamburguesa,€,"Calle De Núñez De Arce 11,  28012",Retiro,Hamburguesa
133,Empanadas BAIRES,30,3.1,2.99,35–55,Empanada,€,"Calle De La Cruz, 20,  28012",Retiro,Empanada
134,Galipan,23,4.2,2.4,60–70,India,€,"Calle Del Dr Cortezo, 7,  28012",Retiro,India
135,El Turkito,200,4.1,2.4,50–60,Asiática,€,"Paseo De Santa María De La Cabeza, 86, 28045",Retiro,Asiática
136,Beiben,14,4.2,2.4,35–45,Mediterránea,€,"Calle Del Mesón De Paredes 52,  28012",Retiro,Mediterránea
137,Mandela 100,30,3.1,2.4,50–60,India,€,"Calle De Lavapiés 34, 28012",Retiro,India
138,Sonali Indian Restaurante,58,4.1,2.4,40–50,India,€€,"Av. De La Albufera, 20,  28053",Retiro,India
139,Popeyes,187,4.1,1.99,20–40,Pollo,€,"Calle De Mira El Sol 23b, 28005",Retiro,Pollo
140,La Cochinita Loca,19,4.3,2.4,45–55,SouthAmerica,€,"Calle De Las Naciones 5,  28006",Retiro,SouthAmerica
141,PaellaGood,30,3.1,1.9,45–55,Mediterránea,€€,"Paseo Del Marqués De Zafra 38, 28028",Retiro,SouthAmerica
142,DIVE`S FOOD,30,3.1,1.9,40–50,Hamburguesa,€,"Calle Lopez de Hoyos 15, 28006",Retiro,Hamburguesa
143,100 % Sano,30,3.1,1.9,35–45,Ensaladas,€€,"Calle Libertad, 9, 28004",Retiro,Ensaladas
144,Puccias Chueca,30,3.1,2.4,40–50,Hamburguesa,€,"Calle Del Gral. Pardiñas, 32, 28001",Retiro,Hamburguesa
145,Rude Burger,36,4.8,1.9,35–45,Hamburguesa,€€,"Calle Conde De Penalver 35,  28006",Retiro,Hamburguesa
146,Cor & Cor,35,4.3,1.9,45–55,Dulce,€,"Av. De La Albufera, 1, 28038",Retiro,Dulce
147,McDonald's,200,4.4,1.4,20–30,Hamburguesa,€,"Calle Del Marqués De Mondéjar, 4,  28028",Retiro,Hamburguesa
148,Thai Zafra,38,4.6,1.9,30–40,Pizza,€,"Calle Ariel,15,  28045",Retiro,Pizza
149,El Buen Gusto,17,4.5,1.9,45–55,Mediterránea,€,"Avenida De La Albufera 119,  28038",Retiro,Mediterránea
150,Kebab Rayo,117,3.8,2.4,35–45,Kebab,€,"Calle De Atocha 98,  28014",Retiro,Kebab
151,Capasso Pizza,30,3.1,1.9,35–45,Pizza,€,"Calle De Lavapiés, 34, 28012",Retiro,Pizza
152,Shapla Indian,31,4.3,2.4,40–50,Ensaladas,€,"Calle De Silva, 25, 28004",Retiro,Ensaladas
153,Home Burger Bar,200,4.3,2.9,60–70,Hamburguesa,€,"Calle Del Dr. Esquerdo, 10, 28009",Retiro,Hamburguesa
154,Empanadas Pampas,30,3.1,1.9,35–45,Empanada,€,"Calle Gran Vía, 22, 28004",Retiro,Empanada
155,TGB,89,3.9,2.4,60–70,Hamburguesa,€,"Calle Hortaleza,6, 28004",Retiro,Hamburguesa
156,Bosforos Turkish Restaurant,34,4.3,2.9,50–60,India,€,"Calle De Atocha, 117, 28012",Retiro,India
157,Halal Steak House Grill,30,2.9,1.9,35–45,Carne,€,"Calle De Barceló 6, 28004",Retiro,Carne
158,Mad Pollo,45,4.0,1.9,15–35,Pollo,€,"Av. Del Mediterráneo, 30, 28007",Retiro,Pollo
159,Mahalo Poke,30,2.9,2.5,30–50,Poke,€€,"Calle Del Puerto De Balbarán 31,  28018",Retiro,Poke
160,Kebab Entrevias,43,4.5,2.9,35–45,Kebab,€,"Calle De Santa Isabel, 5, 28012",Retiro,Kebab
161,Moñetes,30,2.9,1.9,35–45,Pizza,€,"Calle De Embajadores, 15, 28045",Retiro,Pizza
162,TUTTO PASTA!,26,2.8,2.5,40–60,Pizza,€,"Avda. Felipe II, 17, 28009",Salamanca,Pizza
163,La Tagliatella,38,4.5,1.9,25–35,Pizza,€€,"Plaza Del Emperador Carlos V, 10, 28012",Salamanca,Pizza
164,Scarlett Real Food,30,2.9,1.9,35–45,Dulce,€,"Calle Del Conde De Peñalver, 13, 28006",Salamanca,Dulce
165,La Cuchara,30,2.9,2.4,40–50,Gourmet,€€€,"Alcalde Luis De Marichala 3,  28030",Salamanca,Gourmet
166,Papa John's,127,4.1,1.4,35–45,Pizza,€,"Calle De Ángel González Tejedor 5,  28017",Salamanca,Pizza
167,Taco Bell,200,4.2,1.9,25–35,Hamburguesa,€,"Plaza Del Emperador Carlos V, 10, 28012",Salamanca,Hamburguesa
168,Scarlett Real Food,29,2.9,2.4,45–55,Dulce,€,"Calle Azulejo 2,  28028",Salamanca,Dulce
169,Pizzería Argentina El Trébol,29,2.9,1.4,30–40,Pizza,€,"Calle De José Ortega Y Gasset 94, 28006",Salamanca,Pizza
170,Empanadas Malvón,48,4.9,0.9,15–25,Empanada,€,"Calle De Luchana 17,  28010",Salamanca,Empanada
171,Pizzart Luchana,29,2.9,2.4,55–65,Pizza,€,"Calle Alcala 191,  28006",Salamanca,Pizza
172,Pastamore,98,4.6,0.9,15–25,Pizza,€,"Calle De San Andrés, 26, 28004",Salamanca,Pizza
173,Roost Chicken,29,2.9,2.4,50–60,Pollo,€,"Plaza Emperador Carlos V, 11 , 28012",Salamanca,Pollo
174,Taco Bell,200,4.2,2.4,35–45,Hamburguesa,€,"Calle De La Alianza 33, 28041",Salamanca,Hamburguesa
175,Chinawokexpress,200,4.2,4.25,30–50,China,€,"Plaza Bami, 26, 28017",Salamanca,China
176,El Burrito Borracho,29,2.9,1.9,35–45,Burritos,€,"Calle De Azcona 36,  28028",Salamanca,Burritos
177,Arepish,186,4.6,0.9,25–35,SouthAmerica,€,"Calle De Alcalá, 344,   28027",Salamanca,SouthAmerica
178,Little Caesars Pizza,200,4.5,2.4,30–40,Pizza,€,"Calle Azulejo 2,  28028",Salamanca,Pizza
179,Empanadas BAIRES,29,2.9,1.4,35–45,Empanada,€,"Calle De Ayala 28,  28001",Salamanca,Empanada
180,SANABRIA,29,2.9,1.4,50–60,Mediterránea,€€€,"Calle Del Gral. Pardiñas, 32, 28001",Salamanca,Mediterránea
181,Rude Burger,36,4.8,0.9,25–35,Hamburguesa,€€,"Calle Lopez de Hoyos 15, 28006",Salamanca,Hamburguesa
182,100 % Sano,29,2.9,0.9,20–30,Ensaladas,€€,"Calle Conde De Penalver 35,  28006",Salamanca,Ensaladas
183,Cor & Cor,35,4.3,0.4,35–45,Dulce,€,"López De Hoyos , 153,  28224",Salamanca,Dulce
184,Popeyes,200,4.4,2.4,35–45,Pollo,€,"Calle Del Príncipe De Vergara, 210,   28002",Salamanca,Pollo
185,Home Burger Bar,198,4.1,2.4,30–40,Hamburguesa,€,"Calle Maldonado 07, 28006",Salamanca,Hamburguesa
186,Artisan Burger,29,2.9,0.9,40–50,Hamburguesa,€,"Calle Del Marqués De Mondéjar, 4, 28028",Salamanca,Hamburguesa
187,Thai Zafra,38,4.6,0.9,15–25,Tienda,€,"Calle De Maldonado, 51, 28006",Salamanca,Tienda
188,Tiendas 7x24,140,4.8,0.9,20–30,Tienda,€,"Calle De Velázquez, 118, 28006",Salamanca,Tienda
189,Makan Saj Manoushe,200,4.9,1.4,30–40,India,€€,"Paseo Del Marqués De Zafra 38,  28028",Salamanca,India
190,DIVE`S FOOD,29,2.9,1.4,35–45,Hamburguesa,€,"Calle De María De Molina, 44, 28006",Salamanca,Hamburguesa
191,Flame,29,2.9,1.4,40–50,Hamburguesa,€,"Calle De Luchana 13,  28010",Salamanca,Hamburguesa
192,Freedom Pizza,53,4.5,2.4,45–55,Pizza,€,"Calle Del Espíritu Santo 16,  28004",Salamanca,Pizza
193,MY Pasta Room,59,4.6,2.4,50–60,Pizza,€,"Calle Gran Vía, 16,   28004",Salamanca,Pizza
194,Steak Burger,168,4.2,2.4,55–65,Hamburguesa,€,"Calle De Goya, 70, 28001",Salamanca,Hamburguesa
195,McDonald's,200,4.6,0.9,15–25,Hamburguesa,€,"Calle De Las Naciones 5,  28006",Salamanca,Hamburguesa
196,PaellaGood,29,2.9,0.4,30–40,Mediterránea,€€,"Calle De Núñez De Arce 11,  28012",Salamanca,SouthAmerica
197,Empanadas BAIRES,29,2.9,2.99,35–55,Empanada,€,"Calle De Carranza 3,  28004",Salamanca,Empanada
198,Tiendas 7x24,70,4.6,2.4,45–55,Tienda,€,"Calle Del Dr. Esquerdo, 10, 28028",Salamanca,Tienda
199,Empanadas Pampas,29,2.9,0.9,25–35,Empanada,€,"Calle Esteban Collantes, 31,  28017",Salamanca,Empanada
200,Croqueteria Focos,29,2.9,2.9,35–45,Mediterránea,€,"Calle De La Cruz, 20,   28012",Salamanca,Mediterránea
201,Galipan,23,4.2,2.9,60–70,India,€,"Calle De Tudescos, 4, 28004",Salamanca,India
202,Super naan,29,2.9,2.4,60–70,India,€,"Calle Mateo García, 13, 28017",Salamanca,India
203,Pollos Gourmet,29,2.9,1.9,30–40,Pollo,€,"Calle De Gonzalo De Berceo 63,  28017",Salamanca,Pollo
204,Asador Perla del Pacifico Ascao,39,4.6,2.9,40–50,Carne,€,"Calle Libertad, 9, 28004",Salamanca,Carne
205,Puccias Chueca,29,2.9,2.4,40–50,Hamburguesa,€,"Calle Del Cardenal Cisneros 1, 28010",Salamanca,Hamburguesa
206,Graal,29,2.9,2.4,60–70,Kebab,€,"Calle De Méjico 20,  28028",Salamanca,Kebab
207,Restaurante Chino Diamante,100,4.0,1.4,25–35,China,€,"Calle De José Abascal 31, 28003",Salamanca,China
208,Junk Burger,31,4.3,1.9,45–55,Hamburguesa,€,"Calle De Hermosilla, 91, 28001",Salamanca,Hamburguesa
209,Esmirna Doner Kebap,48,4.7,0.9,25–35,Kebab,€,"Av. De Felipe II, 8, 28009",Salamanca,Kebab
210,Aloha Poke,200,4.7,0.9,20–30,Poke,€,"Calle Zabaleta 1,  28002",Salamanca,Poke
211,CHUCK CHUCK CHICKEN,29,2.9,1.4,35–45,Pollo,€,"Calle Gran Vía, 22, 28004",Salamanca,Pollo
212,TGB,89,3.9,2.4,65–75,Hamburguesa,€,"Calle Génova 27, 28010",Salamanca,Hamburguesa
213,VIPS,16,4.8,1.9,50–60,Hamburguesa,€,"Calle De Atocha 98, 28014",Salamanca,Hamburguesa
214,Capasso Pizza,29,2.9,2.4,45–55,Pizza,€,"Calle De La Virgen De La Fuencisla, 19,  28027",Salamanca,Pizza
215,HyH Kebab Fried Chicken,23,3.6,1.0,40–60,Pollo,€,"Calle De José Calvo 6, 28039",Salamanca,Pollo
216,Badsha India Restaurant,200,4.4,1.0,15–35,India,€,"Calle De Embajadores, 17 , 28012",Chamartín,India
217,TUTTO PASTA!,26,2.8,2.5,40–60,Pizza,€,"Avda. Felipe Ii, 17, 28009",Chamartín,Pizza
218,La Tagliatella,38,4.5,0.9,25–35,Pizza,€€,"C/ Orense, 11, , Spain, Spain 28020",Chamartín,Pizza
219,Papa John's,200,4.5,1.4,30–40,Pizza,€,"Calle Del Conde De Peñalver, 17, 28006",Chamartín,Pizza
220,La Cuchara,29,2.9,2.9,40–50,Gourmet,€€€,"C/ Serrano, 203 , 28016",Chamartín,Gourmet
221,Papa John's,200,4.3,0.9,25–35,Pizza,€,"Calle Del Conde De Serrallo, 1, 28029",Chamartín,Pizza
