,Restaurante,Valoración,Nota,Delivery_Fee,ETA,Tag,Precio,Dirección,Barrio,lat,lon
294,Little Caesars Pizza,200,4.6,3.0,5–25,Pizza,€,"Calle De La Infanta Mercedes, 17,  Madrid",Chamartín,4.045.303,-369.951
295,Toro Burger Lounge,23,4.1,1.9,55–65,Alcohol,€,"Castellana, 123,  Madrid",Chamartín,4.045.826,-369.067
296,Popeyes,200,4.0,1.4,30–40,Pollo,€,"Calle Castilla,4   Madrid",Chamartín,4.045.286,-370.425
298,MANKA,52,4.9,2.4,55–65,Pizza,€,"Paseo De La Castellana 130,  Madrid",Chamartín,404.502,-369.019
299,Yakitoro,26,4.5,1.4,55–65,Pollo,€,"Calle De Francos Rodríguez, 42,  Madrid",Chamartín,4.045.552,-370.451
300,EL ASADOR,40,2.9,2.4,60–70,Carne,€,"Calle Del Príncipe De Vergara 256,   Madrid",Chamartín,4.042.562,-367.992
301,Empanadas Malvón,12,5.0,0.9,20–30,Empanada,€,"Paseo De La Castellana, 210,  Madrid",Chamartín,404.632,-368.894
303,Taberna del Volapié,40,2.9,1.4,40–50,Tapas,€€€,"Calle De Azcona 36,   Madrid",Chamartín,4.038.927,-37.415
304,Arepish,186,4.6,2.9,35–45,Venezolana,€€€,"Calle De Bravo Murillo 122,  Madrid",Chamartín,404.491,-370.348
305,Arepish,53,4.6,2.4,55–65,Venezolana,€,"Calle De San Germán, 64,  Madrid",Chamartín,4.045.729,-370.018
307,Fast chicken chain,40,2.9,1.9,45–55,Pollo,€,"Av. De Pío Xii, 4,  Madrid",Chamartín,4.047.213,-367.428
308,McDonald's,150,4.5,0.9,20–30,Hamburguesas,€,"Calle De Raimundo Fernández Villaverde, 33,  Madrid",Chamartín,4.044.705,-370.016
309,Pizza Central,22,3.1,2.4,50–60,Pizza,€,"Calle De Velázquez, 118,  Madrid",Chamartín,4.043.525,-368.349
311,Makan Saj Manoushe,200,4.9,2.4,30–40,India,€,"Calle De María De Molina, 44,  Madrid",Chamartín,4.043.794,-368.459
312,Flame,40,2.9,2.4,45–55,Hamburguesas,€,"Intercambiador De Plaza De Castilla,  Madrid",Chamartín,4.046.847,-368.845
313,Busburguer,98,4.5,1.4,30–40,Hamburguesas,€,"Calle De Lérida 58,   Madrid",Chamartín,4.045.625,-370.013
314,Polloco Gourmet,40,2.9,3.0,30–50,Pollo,€,"Calle De Maldonado, 51,  Madrid",Chamartín,4.043.378,-36.789
316,Tiendas 7x24,140,4.8,2.9,30–40,Opciones para alergias,€,"Calle Maldonado 07,  Madrid",Chamartín,4.043.367,-368.057
317,Artisan Burger,40,2.9,2.4,45–55,Hamburguesas,€,"Bravo Murillo, 120,   Madrid",Chamartín,4.044.861,-37.035
318,Pomodoro,87,3.8,2.4,55–65,Italiana,€,"Calle De José Abascal 31,  Madrid",Chamartín,4.043.856,-369.891
320,Junk Burger,31,4.3,2.4,50–60,Hamburguesas,€,"Calle De María De Molina, 16,  Madrid",Chamartín,4.043.794,-368.459
321,Aloha Poke,163,4.5,2.4,40–50,Poke,€,"Calle De Barceló 6, 318,   Madrid",Chamartín,4.042.659,-370.073
322,Mad Pollo,45,4.0,2.4,15–35,Pollo,€,"Calle Zabaleta 1,   Madrid",Chamartín,4.044.065,-367.537
324,CHUCK CHUCK CHICKEN,40,2.9,1.9,40–50,Pollo,€,"Calle De Arturo Soria, 189,  Madrid",Chamartín,4.045.843,-365.932
325,Pasteleria Saul,27,4.2,1.9,25–35,Everyday Essentials,€,"Calle Bravo Murillo, 229,  Madrid",Chamartín,4.046.448,-369.484
326,Galp,19,4.3,1.9,45–55,Tienda,€,"Calle Del Cactus, 42 ,   Madrid",Chamartín,4.046.117,-37.001
327,Chili House🌶,40,2.9,1.9,45–55,Mexicana,€,"Calle De Méjico, 20,   Madrid",Chamartín,4.043.736,-367.305
329,Restaurante Chino Diamante,100,4.0,2.4,30–40,China,€,"Plaza Sagrado Corazón De Jesús, 2,  Madrid",Chamartín,4.041.349,-369.582
330,Foster's Hollywood,65,4.2,1.4,30–40,Americana,€,"Calle Del Príncipe De Vergara 258,   Madrid",Chamartín,4.042.562,-367.992
331,Empanadas BAIRES,40,2.9,0.9,25–35,Empanada,€,"Calle Zabaleta 1,   Madrid",Chamartín,4.044.065,-367.537
333,Golat Helados,40,2.9,1.9,35–45,Postres,€,"Calle De San Andrés, 31,  Madrid",Chamartín,4.042.842,-370.346
334,Pic & Nic,200,4.4,3.4,60–70,Mediterránea,€€€,"Calle Zabaleta 1,   Madrid",Chamartín,4.044.065,-367.537
335,Frambons,40,2.9,1.9,35–45,Empanada,€,"Calle De Raimundo Fernández Villaverde 33,   Madrid",Chamartín,4.044.705,-370.016
337,Empanadas BAIRES,13,4.0,2.4,55–65,Empanada,€,"Calle De Cartagena, 131,  Madrid",Chamartín,4.044.257,-367.585
338,Doner kebap efes,23,4.7,1.9,25–35,Kebab,€€€,"Calle De López De Hoyos 11,   Madrid",Chamartín,4.044.849,-366.731
339,Crepes & Waffles,19,4.5,2.4,45–55,Postres,€€€,"Calle De López De Hoyos, 139,  Madrid",Chamartín,4.044.849,-366.731
340,Doner kebap efes,30,4.6,1.9,30–40,Kebab,€,"Calle Bravo Murillo 218,   Madrid",Chamartín,4.046.448,-369.484
